"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"New Mexico","July","2023","Age 5-13","Resident Population","Male","116,675"
"New Mexico","July","2023","Age 5-13","Resident Population","Female","112,063"
"New Mexico","July","2023","Age 10-14","Resident Population","Male","68,190"
"New Mexico","July","2023","Age 10-14","Resident Population","Female","65,624"
"New Mexico","July","2023","Age 14-17","Resident Population","Male","58,718"
"New Mexico","July","2023","Age 14-17","Resident Population","Female","56,570"
"New Mexico","July","2023","Age 15-19","Resident Population","Male","73,863"
"New Mexico","July","2023","Age 15-19","Resident Population","Female","70,600"
"New Mexico","July","2023","Age 15-44","Resident Population","Male","430,874"
"New Mexico","July","2023","Age 15-44","Resident Population","Female","406,826"
"New Mexico","July","2023","Age 16 and older","Resident Population","Male","850,215"
"New Mexico","July","2023","Age 16 and older","Resident Population","Female","870,853"
"New Mexico","July","2023","Age 18-24","Resident Population","Male","104,065"
"New Mexico","July","2023","Age 18-24","Resident Population","Female","96,330"
"New Mexico","July","2023","Age 18 and older","Resident Population","Male","820,630"
"New Mexico","July","2023","Age 18 and older","Resident Population","Female","842,394"
"New Mexico","July","2023","Age 20-24","Resident Population","Male","74,627"
"New Mexico","July","2023","Age 20-24","Resident Population","Female","68,505"
"New Mexico","July","2023","Age 25-29","Resident Population","Male","69,523"
"New Mexico","July","2023","Age 25-29","Resident Population","Female","64,882"
"New Mexico","July","2023","Age 25-44","Resident Population","Male","282,384"
"New Mexico","July","2023","Age 25-44","Resident Population","Female","267,721"
"New Mexico","July","2023","Age 30-34","Resident Population","Male","73,190"
"New Mexico","July","2023","Age 30-34","Resident Population","Female","69,381"
"New Mexico","July","2023","Age 35-39","Resident Population","Male","71,678"
"New Mexico","July","2023","Age 35-39","Resident Population","Female","67,694"
"New Mexico","July","2023","Age 40-44","Resident Population","Male","67,993"
"New Mexico","July","2023","Age 40-44","Resident Population","Female","65,764"
"New Mexico","July","2023","Age 45-49","Resident Population","Male","58,526"
"New Mexico","July","2023","Age 45-49","Resident Population","Female","58,530"
"New Mexico","July","2023","Age 45-64","Resident Population","Male","241,865"
"New Mexico","July","2023","Age 45-64","Resident Population","Female","252,108"
"New Mexico","July","2023","Age 50-54","Resident Population","Male","58,503"
"New Mexico","July","2023","Age 50-54","Resident Population","Female","60,025"
"New Mexico","July","2023","Age 55-59","Resident Population","Male","58,899"
"New Mexico","July","2023","Age 55-59","Resident Population","Female","62,170"
"New Mexico","July","2023","Age 60-64","Resident Population","Male","65,937"
"New Mexico","July","2023","Age 60-64","Resident Population","Female","71,383"
"New Mexico","July","2023","Age 65-69","Resident Population","Male","61,711"
"New Mexico","July","2023","Age 65-69","Resident Population","Female","69,457"
"New Mexico","July","2023","Age 65 and older","Resident Population","Male","192,316"
"New Mexico","July","2023","Age 65 and older","Resident Population","Female","226,235"
"New Mexico","July","2023","Age 70-74","Resident Population","Male","53,610"
"New Mexico","July","2023","Age 70-74","Resident Population","Female","60,736"
"New Mexico","July","2023","Age 75-79","Resident Population","Male","38,966"
"New Mexico","July","2023","Age 75-79","Resident Population","Female","44,816"
"New Mexico","July","2023","Age 80-84","Resident Population","Male","22,021"
"New Mexico","July","2023","Age 80-84","Resident Population","Female","27,094"
"New Mexico","July","2023","85 years and over","Resident Population","Male","16,008"
"New Mexico","July","2023","85 years and over","Resident Population","Female","24,132"
"New York","July","2023","Age under 5","Resident Population","Male","530,244"
"New York","July","2023","Age under 5","Resident Population","Female","508,572"
"New York","July","2023","Age 5-9","Resident Population","Male","562,669"
"New York","July","2023","Age 5-9","Resident Population","Female","537,331"
"New York","July","2023","Age 5-13","Resident Population","Male","1,021,496"
"New York","July","2023","Age 5-13","Resident Population","Female","972,917"
